2023-12-18 17:12:430 INFO  LoginPage :43 - Enter User Name: Admin
2023-12-18 17:12:684 INFO  LoginPage :53 - Enter Password: admin123
2023-12-18 17:12:762 INFO  LoginPage :48 - Clicking on Login Button: [[ChromeDriver: chrome on windows (5abe6b5be6227bcbb454d43f6858251f)] -> xpath: //button[@type='submit']]
2023-12-18 17:12:244 INFO  LoginPage :64 - Verifying Login: [[ChromeDriver: chrome on windows (5abe6b5be6227bcbb454d43f6858251f)] -> xpath: //h6[normalize-space()='Dashboard']]
2023-12-18 17:12:945 INFO  LoginPage :43 - Enter User Name: Admin
2023-12-18 17:12:233 INFO  LoginPage :53 - Enter Password: admin123
2023-12-18 17:12:325 INFO  LoginPage :48 - Clicking on Login Button: [[ChromeDriver: chrome on windows (010075642a932c4f04e15fddb7772112)] -> xpath: //button[@type='submit']]
2023-12-18 17:12:535 INFO  DashboardPage :32 - Verifying Orange HRM Logo: [[ChromeDriver: chrome on windows (010075642a932c4f04e15fddb7772112)] -> xpath: //img[@alt='client brand banner']]
2023-12-18 17:12:137 INFO  LoginPage :43 - Enter User Name: Admin
2023-12-18 17:12:399 INFO  LoginPage :53 - Enter Password: admin123
2023-12-18 17:12:484 INFO  LoginPage :48 - Clicking on Login Button: [[ChromeDriver: chrome on windows (60cad5ad7733f4ef96b85933f332e710)] -> xpath: //button[@type='submit']]
2023-12-18 17:12:441 INFO  HomePage :44 - Clicking on user profile logo: [[ChromeDriver: chrome on windows (60cad5ad7733f4ef96b85933f332e710)] -> xpath: //p[@class='oxd-userdropdown-name']]
2023-12-18 17:12:992 INFO  HomePage :50 - Clicking on Log Out: [[ChromeDriver: chrome on windows (60cad5ad7733f4ef96b85933f332e710)] -> xpath: //a[normalize-space()='Logout']]
2023-12-18 17:12:247 INFO  LoginPage :37 - Verifying Login Text: [[ChromeDriver: chrome on windows (60cad5ad7733f4ef96b85933f332e710)] -> xpath: //h5[normalize-space()='Login']]
2023-12-18 17:12:762 INFO  LoginPage :43 - Enter User Name: Admin
2023-12-18 17:12:29 INFO  LoginPage :53 - Enter Password: admin123
2023-12-18 17:12:112 INFO  LoginPage :48 - Clicking on Login Button: [[ChromeDriver: chrome on windows (d9100dd9b00ee99690c56cff70e959c4)] -> xpath: //button[@type='submit']]
2023-12-18 17:12:382 INFO  ViewSystemUsersPage :66 - Clicking on Admin: [[ChromeDriver: chrome on windows (d9100dd9b00ee99690c56cff70e959c4)] -> xpath: //a[@href='/web/index.php/admin/viewAdminModule']]
2023-12-18 17:12:596 INFO  ViewSystemUsersPage :71 - Verifying System User Text: [[ChromeDriver: chrome on windows (d9100dd9b00ee99690c56cff70e959c4)] -> xpath: //h5[@class='oxd-text oxd-text--h5 oxd-table-filter-title']]
2023-12-18 17:12:130 INFO  LoginPage :43 - Enter User Name: Admin
2023-12-18 17:12:385 INFO  LoginPage :53 - Enter Password: admin123
2023-12-18 17:12:471 INFO  LoginPage :48 - Clicking on Login Button: [[ChromeDriver: chrome on windows (aaf558620629681e91a1dd20ed3015a1)] -> xpath: //button[@type='submit']]
2023-12-18 17:12:491 INFO  ViewSystemUsersPage :66 - Clicking on Admin: [[ChromeDriver: chrome on windows (aaf558620629681e91a1dd20ed3015a1)] -> xpath: //a[@href='/web/index.php/admin/viewAdminModule']]
2023-12-18 17:12:740 INFO  ViewSystemUsersPage :71 - Verifying System User Text: [[ChromeDriver: chrome on windows (aaf558620629681e91a1dd20ed3015a1)] -> xpath: //h5[@class='oxd-text oxd-text--h5 oxd-table-filter-title']]
2023-12-18 17:12:446 INFO  LoginPage :43 - Enter User Name: Admin
2023-12-18 17:12:708 INFO  LoginPage :53 - Enter Password: admin123
2023-12-18 17:12:788 INFO  LoginPage :48 - Clicking on Login Button: [[ChromeDriver: chrome on windows (dddcae1175a64429c10796d0c1ba9952)] -> xpath: //button[@type='submit']]
2023-12-18 17:12:917 INFO  ViewSystemUsersPage :66 - Clicking on Admin: [[ChromeDriver: chrome on windows (dddcae1175a64429c10796d0c1ba9952)] -> xpath: //a[@href='/web/index.php/admin/viewAdminModule']]
2023-12-18 17:12:114 INFO  ViewSystemUsersPage :71 - Verifying System User Text: [[ChromeDriver: chrome on windows (dddcae1175a64429c10796d0c1ba9952)] -> xpath: //h5[@class='oxd-text oxd-text--h5 oxd-table-filter-title']]
2023-12-18 17:12:746 INFO  LoginPage :43 - Enter User Name: Admin
2023-12-18 17:12:06 INFO  LoginPage :53 - Enter Password: admin123
2023-12-18 17:12:78 INFO  LoginPage :48 - Clicking on Login Button: [[ChromeDriver: chrome on windows (126854a454aec7a131aeba5ee61330e7)] -> xpath: //button[@type='submit']]
2023-12-18 17:12:252 INFO  ViewSystemUsersPage :66 - Clicking on Admin: [[ChromeDriver: chrome on windows (126854a454aec7a131aeba5ee61330e7)] -> xpath: //a[@href='/web/index.php/admin/viewAdminModule']]
2023-12-18 17:12:419 INFO  ViewSystemUsersPage :71 - Verifying System User Text: [[ChromeDriver: chrome on windows (126854a454aec7a131aeba5ee61330e7)] -> xpath: //h5[@class='oxd-text oxd-text--h5 oxd-table-filter-title']]
2023-12-18 17:12:642 INFO  LoginPage :43 - Enter User Name: Admin
2023-12-18 17:12:888 INFO  LoginPage :53 - Enter Password: admin123
2023-12-18 17:12:974 INFO  LoginPage :48 - Clicking on Login Button: [[ChromeDriver: chrome on windows (521fb24bb3dae957d18f673b4c8f9051)] -> xpath: //button[@type='submit']]
2023-12-18 17:12:171 INFO  LoginPage :64 - Verifying Login: [[ChromeDriver: chrome on windows (521fb24bb3dae957d18f673b4c8f9051)] -> xpath: //h6[normalize-space()='Dashboard']]
2023-12-18 17:12:64 INFO  LoginPage :43 - Enter User Name: Admin
2023-12-18 17:12:325 INFO  LoginPage :53 - Enter Password: admin123
2023-12-18 17:12:408 INFO  LoginPage :48 - Clicking on Login Button: [[ChromeDriver: chrome on windows (d1b4f07e810a19e917b4bec1aea6d153)] -> xpath: //button[@type='submit']]
2023-12-18 17:12:473 INFO  DashboardPage :32 - Verifying Orange HRM Logo: [[ChromeDriver: chrome on windows (d1b4f07e810a19e917b4bec1aea6d153)] -> xpath: //img[@alt='client brand banner']]
2023-12-18 17:12:376 INFO  LoginPage :43 - Enter User Name: Admin
2023-12-18 17:12:650 INFO  LoginPage :53 - Enter Password: admin123
2023-12-18 17:12:735 INFO  LoginPage :48 - Clicking on Login Button: [[ChromeDriver: chrome on windows (231f228fe9bbc14866870ab9bd0785ee)] -> xpath: //button[@type='submit']]
2023-12-18 17:12:871 INFO  HomePage :44 - Clicking on user profile logo: [[ChromeDriver: chrome on windows (231f228fe9bbc14866870ab9bd0785ee)] -> xpath: //p[@class='oxd-userdropdown-name']]
2023-12-18 17:12:437 INFO  HomePage :50 - Clicking on Log Out: [[ChromeDriver: chrome on windows (231f228fe9bbc14866870ab9bd0785ee)] -> xpath: //a[normalize-space()='Logout']]
2023-12-18 17:12:797 INFO  LoginPage :37 - Verifying Login Text: [[ChromeDriver: chrome on windows (231f228fe9bbc14866870ab9bd0785ee)] -> xpath: //h5[normalize-space()='Login']]
2023-12-18 17:12:408 INFO  LoginPage :43 - Enter User Name: Admin
2023-12-18 17:12:670 INFO  LoginPage :53 - Enter Password: admin123
2023-12-18 17:12:761 INFO  LoginPage :48 - Clicking on Login Button: [[ChromeDriver: chrome on windows (246137e173d9148fedceb40ecd8d4d39)] -> xpath: //button[@type='submit']]
2023-12-18 17:12:925 INFO  ViewSystemUsersPage :66 - Clicking on Admin: [[ChromeDriver: chrome on windows (246137e173d9148fedceb40ecd8d4d39)] -> xpath: //a[@href='/web/index.php/admin/viewAdminModule']]
2023-12-18 17:12:287 INFO  ViewSystemUsersPage :71 - Verifying System User Text: [[ChromeDriver: chrome on windows (246137e173d9148fedceb40ecd8d4d39)] -> xpath: //h5[@class='oxd-text oxd-text--h5 oxd-table-filter-title']]
2023-12-18 17:12:161 INFO  LoginPage :43 - Enter User Name: Admin
2023-12-18 17:12:423 INFO  LoginPage :53 - Enter Password: admin123
2023-12-18 17:12:505 INFO  LoginPage :48 - Clicking on Login Button: [[ChromeDriver: chrome on windows (988a376e3702a72108415664402d4af3)] -> xpath: //button[@type='submit']]
2023-12-18 17:12:154 INFO  ViewSystemUsersPage :66 - Clicking on Admin: [[ChromeDriver: chrome on windows (988a376e3702a72108415664402d4af3)] -> xpath: //a[@href='/web/index.php/admin/viewAdminModule']]
2023-12-18 17:12:699 INFO  ViewSystemUsersPage :71 - Verifying System User Text: [[ChromeDriver: chrome on windows (988a376e3702a72108415664402d4af3)] -> xpath: //h5[@class='oxd-text oxd-text--h5 oxd-table-filter-title']]
2023-12-18 17:12:157 INFO  LoginPage :43 - Enter User Name: Admin
2023-12-18 17:12:865 INFO  LoginPage :53 - Enter Password: admin123
2023-12-18 17:12:944 INFO  LoginPage :48 - Clicking on Login Button: [[ChromeDriver: chrome on windows (d671a6985d2dc9b5b6e11fd62f3a0937)] -> xpath: //button[@type='submit']]
2023-12-18 17:12:645 INFO  ViewSystemUsersPage :66 - Clicking on Admin: [[ChromeDriver: chrome on windows (d671a6985d2dc9b5b6e11fd62f3a0937)] -> xpath: //a[@href='/web/index.php/admin/viewAdminModule']]
2023-12-18 17:12:262 INFO  ViewSystemUsersPage :71 - Verifying System User Text: [[ChromeDriver: chrome on windows (d671a6985d2dc9b5b6e11fd62f3a0937)] -> xpath: //h5[@class='oxd-text oxd-text--h5 oxd-table-filter-title']]
2023-12-18 17:12:953 INFO  LoginPage :43 - Enter User Name: Admin
2023-12-18 17:12:310 INFO  LoginPage :53 - Enter Password: admin123
2023-12-18 17:12:394 INFO  LoginPage :48 - Clicking on Login Button: [[ChromeDriver: chrome on windows (c5f456fc2eb9ba86ac14a477f70ca663)] -> xpath: //button[@type='submit']]
2023-12-18 17:12:679 INFO  ViewSystemUsersPage :66 - Clicking on Admin: [[ChromeDriver: chrome on windows (c5f456fc2eb9ba86ac14a477f70ca663)] -> xpath: //a[@href='/web/index.php/admin/viewAdminModule']]
2023-12-18 17:12:77 INFO  ViewSystemUsersPage :71 - Verifying System User Text: [[ChromeDriver: chrome on windows (c5f456fc2eb9ba86ac14a477f70ca663)] -> xpath: //h5[@class='oxd-text oxd-text--h5 oxd-table-filter-title']]
2023-12-18 17:12:16 INFO  LoginPage :43 - Enter User Name: Admin
2023-12-18 17:12:267 INFO  LoginPage :53 - Enter Password: admin123
2023-12-18 17:12:359 INFO  LoginPage :48 - Clicking on Login Button: [[ChromeDriver: chrome on windows (42d1e8d9d16cf94c3d94322a4e52c715)] -> xpath: //button[@type='submit']]
2023-12-18 17:12:495 INFO  LoginPage :64 - Verifying Login: [[ChromeDriver: chrome on windows (42d1e8d9d16cf94c3d94322a4e52c715)] -> xpath: //h6[normalize-space()='Dashboard']]
2023-12-18 17:12:170 INFO  LoginPage :43 - Enter User Name: Admin
2023-12-18 17:12:447 INFO  LoginPage :53 - Enter Password: admin123
2023-12-18 17:12:530 INFO  LoginPage :48 - Clicking on Login Button: [[ChromeDriver: chrome on windows (c6e8170e768d09ad4a2a156a031c1b2d)] -> xpath: //button[@type='submit']]
2023-12-18 17:12:689 INFO  DashboardPage :32 - Verifying Orange HRM Logo: [[ChromeDriver: chrome on windows (c6e8170e768d09ad4a2a156a031c1b2d)] -> xpath: //img[@alt='client brand banner']]
2023-12-18 17:12:78 INFO  LoginPage :43 - Enter User Name: Admin
2023-12-18 17:12:337 INFO  LoginPage :53 - Enter Password: admin123
2023-12-18 17:12:423 INFO  LoginPage :48 - Clicking on Login Button: [[ChromeDriver: chrome on windows (0e95ad3560ad0c058ad7bd20fa449ee5)] -> xpath: //button[@type='submit']]
2023-12-18 17:12:583 INFO  HomePage :44 - Clicking on user profile logo: [[ChromeDriver: chrome on windows (0e95ad3560ad0c058ad7bd20fa449ee5)] -> xpath: //p[@class='oxd-userdropdown-name']]
2023-12-18 17:12:135 INFO  HomePage :50 - Clicking on Log Out: [[ChromeDriver: chrome on windows (0e95ad3560ad0c058ad7bd20fa449ee5)] -> xpath: //a[normalize-space()='Logout']]
2023-12-18 17:12:403 INFO  LoginPage :37 - Verifying Login Text: [[ChromeDriver: chrome on windows (0e95ad3560ad0c058ad7bd20fa449ee5)] -> xpath: //h5[normalize-space()='Login']]
2023-12-18 17:12:922 INFO  LoginPage :43 - Enter User Name: Admin
2023-12-18 17:12:180 INFO  LoginPage :53 - Enter Password: admin123
2023-12-18 17:12:263 INFO  LoginPage :48 - Clicking on Login Button: [[ChromeDriver: chrome on windows (7a62cc3f1387d3ab1b92adc584f59066)] -> xpath: //button[@type='submit']]
2023-12-18 17:12:521 INFO  ViewSystemUsersPage :66 - Clicking on Admin: [[ChromeDriver: chrome on windows (7a62cc3f1387d3ab1b92adc584f59066)] -> xpath: //a[@href='/web/index.php/admin/viewAdminModule']]
2023-12-18 17:12:166 INFO  ViewSystemUsersPage :71 - Verifying System User Text: [[ChromeDriver: chrome on windows (7a62cc3f1387d3ab1b92adc584f59066)] -> xpath: //h5[@class='oxd-text oxd-text--h5 oxd-table-filter-title']]
2023-12-18 17:12:206 INFO  ViewSystemUsersPage :76 - Clicking on Add button: [[ChromeDriver: chrome on windows (7a62cc3f1387d3ab1b92adc584f59066)] -> xpath: //button[@class='oxd-button oxd-button--medium oxd-button--secondary']]
2023-12-18 17:12:875 INFO  ViewSystemUsersPage :81 - Verifying User added text: Add User
2023-12-18 17:12:420 INFO  ViewSystemUsersPage :86 - Selecting Admin from Admin dropdown: Proxy element for: DefaultElementLocator 'By.xpath: //*[@class='oxd-select-wrapper']//*[contains(text(),'Admin')]'
